Unique Transaction Identifier,Price,Date of Transaction,Postal Code,Property Type,Old/New,Duration,PAON,SAON,Street,Locality,Town/City,District,County,PPD Category Type,Record Status
{1061746E-BC8C-3C34-E063-4804A8C0F9E7},157716,2023-03-13,HP20 1FN,F,Y,L,"OSCAR LODGE, 50",37,CAMBRIDGE STREET,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC8D-3C34-E063-4804A8C0F9E7},23000,2023-09-13,HP12 3HN,O,N,F,98,FLAT 4,CHAIRBOROUGH ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC8E-3C34-E063-4804A8C0F9E7},500000,2023-09-18,HP18 9DP,S,N,F,MARGO,,COLTMAN AVENUE,LONG CRENDON,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC91-3C34-E063-4804A8C0F9E7},8600000,2023-04-06,HP21 7QW,O,N,F,BEAR BROOK OFFICE PARK,BUILDING 3,WALTON STREET,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC93-3C34-E063-4804A8C0F9E7},305000,2023-12-07,HP22 6AJ,S,N,F,38,,GRENVILLE AVENUE,WENDOVER,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC95-3C34-E063-4804A8C0F9E7},312000,2023-07-28,MK18 7ER,T,N,F,4,,SWALLOW CLOSE,,BUCKINGHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC97-3C34-E063-4804A8C0F9E7},400000,2023-04-14,HP21 9DS,D,N,F,104,,KYNASTON AVENUE,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1775CCF7-D85A-38BA-E063-4704A8C05A7C},405000,2023-12-07,HP5 1SN,O,N,F,74,,BOIS MOOR ROAD,,CHESHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1775CCF7-D860-38BA-E063-4704A8C05A7C},599990,2023-12-04,HP11 1UA,O,N,L,WYCOMBE 6,,CREST ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1775CCF7-D861-38BA-E063-4704A8C05A7C},2700000,2023-12-04,HP11 1UA,O,N,L,FIVE GUYS,,CREST ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1775CCF7-D863-38BA-E063-4704A8C05A7C},3639444,2023-12-20,SL8 5DT,O,N,F,BLUEBELL COMMUNICATIONS LTD,,WESSEX ROAD,,BOURNE END,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1775CCF7-D866-38BA-E063-4704A8C05A7C},207000,2023-12-21,HP19 7TH,T,N,F,14,,PEARSON CLOSE,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
